Station,Latitude,Longitude,Elevation,2025-02-17_g,2025-02-17_sd
AP001,34.07895,-106.92083,1453,979165211,2.12
ESC-E06,34.12036,-106.88629,1406.87,979185868.01,2.17
ESC-W05,34.12036,-106.88629,1408.45,979185387.08,2.17
ESC02,34.12034,-106.88834,1407.72,979185147.54,2.17
ESC03,34.1203,-106.88751,1408.14,979185198.84,2.19
ESC04,34.0683,-106.90623,1408.76,979185292.7,2.19
ESC08,34.12043,-106.88618,1407.01,979185800.51,2.17
ESC10,34.12054,-106.88632,1406.73,979185900.59,2.17
ESC14,34.12048,-106.88613,1406.75,979186019.56,2.17
ESC16,34.12066,-106.88588,1406.72,979186118.59,2.17
ESC17,34.12071,-106.88564,1046.96,979186179.67,2.17
ESC21,34.12103,-106.88468,1406.31,979186792.04,2.17
ESC22,34.12111,-106.88444,1406.86,979186894.47,2.17
ESC23,34.1203,-106.88674,1408.14,979185636.9,2.17
