Station,Latitude,Longitude,Elevation,2025-01-13_g,2025-01-13_sd
AP001,34.07895,-106.92083,1453,979165211,3.54
ESC-W05,34.12036,-106.88629,1408.45,979185429.14,4.61
ESC02,34.12034,-106.88834,1407.72,979185185.86,4.61
ESC03,34.1203,-106.88751,1408.14,979185235.85,4.6
ESC04,34.0683,-106.90623,1408.76,979185337.21,4.61
ESC-E06,34.12036,-106.88629,1406.87,979185864.18,2.83
ESC10,34.12054,-106.88632,1406.73,979185900.19,2.84
ESC14,34.12048,-106.88613,1406.75,979186018.66,2.84
ESC16,34.12066,-106.88588,1406.72,979186117.1,2.83
ESC17,34.12071,-106.88564,1046.96,979186177.24,2.84
ESC21,34.12103,-106.88468,1406.31,979186790.81,2.83
ESC22,34.12111,-106.88444,1406.86,979186894.24,2.83
ESC23,34.1203,-106.88674,1408.14,979185638.68,2.83
