Station,Latitude,Longitude,Elevation,2025-03-28_g,2025-03-28_sd
AP001,34.07895,-106.92083,1453,979165211,3.78
ESC-E06,34.12036,-106.88629,1406.87,979185870.21,3.81
ESC-W05,34.12036,-106.88629,1408.45,979185397.54,3.85
ESC02,34.12034,-106.88834,1407.72,979185156.23,3.86
ESC03,34.1203,-106.88751,1408.14,979185205.14,3.85
ESC04,34.0683,-106.90623,1408.76,979185302.21,3.86
ESC08,34.12043,-106.88618,1407.01,979185800.17,3.81
ESC10,34.12054,-106.88632,1406.73,979185904.32,3.81
ESC14,34.12048,-106.88613,1406.75,979186020.43,3.81
ESC16,34.12066,-106.88588,1406.72,979186120.97,3.81
ESC17,34.12071,-106.88564,1046.96,979186182.56,3.81
ESC21,34.12103,-106.88468,1406.31,979186796.65,3.81
ESC22,34.12111,-106.88444,1406.86,979186901.27,3.83
ESC23,34.1203,-106.88674,1408.14,979185639.6,3.81
