Station,Latitude,Longitude,Elevation,2024-10-11_g,2024-10-11_sd
AP001,34.07895,-106.92083,1453,979165211,1.93
ESC-E06,34.12036,-106.88629,1406.87,979185874.8,2.02
ESC-W05,34.12036,-106.88629,1408.45,979185373.04,2.4
ESC02,34.12034,-106.88834,1407.72,979185137.03,2.55
ESC03,34.1203,-106.88751,1408.14,979185191.68,2.3
ESC10,34.12054,-106.88632,1406.73,979185910.75,2.02
ESC14,34.12048,-106.88613,1406.75,979186032.38,2.02
ESC16,34.12066,-106.88588,1406.72,979186123.34,1.99
ESC17,34.12071,-106.88564,1046.96,979186185.08,2.02
ESC21,34.12103,-106.88468,1406.31,979186788.01,1.99
ESC22,34.12111,-106.88444,1406.86,979186903.27,2.03
ESC23,34.1203,-106.88674,1408.14,979185637.45,2
