Station ID,Observer ID,Serial Number,Date,Time,ObsG,Dial,Feedback Correction,Earthtide Correction,Level Correction,Temperature Correction,Beam Error,Height,Elevation,Latitude,Longitude,Elapsed Time,Standard Deviation,Temperature Frequency,Note
AP001,morrison,B-107,2025/02/17,20:28:59,2598.6682,2650,-1.1794,0.0546,0,0,-0.0023,0,1453,34.078947,-106.92083,111,0.0042,93,No notes.
AP001,morrison,B-107,2025/02/19,16:53:14,-10.9569,2660,-10.8963,-0.0606,0,0,-0.002,0,1453,34.078947,-106.92083,108,0.0032,94,No notes.
AP001,morrison,B-107,2025/02/19,16:53:26,-10.9545,2660,-10.894,-0.0606,0,0,-0.0003,0,1453,34.078947,-106.92083,120,0.0024,94,No notes.
AP001,morrison,B-107,2025/02/19,16:54:08,-10.9533,2660,-10.8929,-0.0604,0,0,-0.0006,0,1453,34.078947,-106.92083,162,0.0026,95,No notes.
AP001,morrison,B-107,2025/02/19,16:54:27,-10.9494,2660,-10.889,-0.0604,0,0,0.0018,0,1453,34.078947,-106.92083,181,0.0043,95,No notes.
ESC17,morrison,B-107,2025/02/19,19:09:04,9.9981,2660,10.0146,-0.0165,0,0,0.0019,0,1046.96,34.120709,-106.885639,165,0.0024,91,No notes.
AP001,morrison,B-107,2025/02/19,20:22:21,-10.9692,2660,-10.9865,0.0173,0,0,-0.0007,0,1453,34.078947,-106.92083,106,0.0032,91,No notes.
AP001,morrison,B-107,2025/02/19,20:22:45,-10.9596,2660,-10.9771,0.0175,0,0,-0.0006,0,1453,34.078947,-106.92083,130,0.001,90,No notes.
AP001,morrison,B-107,2025/02/19,20:24:56,-10.9551,2660,-10.9735,0.0185,0,0,0.0008,0,1453,34.078947,-106.92083,261,0.0036,91,No notes.
AP001,morrison,B-107,2025/02/19,20:25:03,-10.9573,2660,-10.9758,0.0185,0,0,-0.0011,0,1453,34.078947,-106.92083,268,0.0029,91,No notes.
ESC-W05,morrison,B-107,2025/02/19,20:51:43,9.221,2660,9.1907,0.0302,0,0,0.0013,0,1408.45,34.120365,-106.886292,126,0.004,91,No notes.
ESC-W05,morrison,B-107,2025/02/19,20:51:50,9.2254,2660,9.1952,0.0303,0,0,0.0024,0,1408.45,34.120365,-106.886292,133,0.0037,91,No notes.
ESC-W05,morrison,B-107,2025/02/19,20:51:56,9.2214,2660,9.1911,0.0303,0,0,-0.0007,0,1408.45,34.120365,-106.886292,139,0.0046,91,No notes.
ESC-W05,morrison,B-107,2025/02/19,20:52:03,9.219,2660,9.1886,0.0304,0,0,-0.0018,0,1408.45,34.120365,-106.886292,146,0.0022,91,No notes.
ESC02,morrison,B-107,2025/02/19,20:58:31,8.9802,2660,8.9472,0.033,0,0,-0.0001,0,1407.72,34.120338,-106.888339,94,0.0022,92,No notes.
ESC02,morrison,B-107,2025/02/19,20:58:53,8.9762,2660,8.943,0.0332,0,0,-0.0017,0,1407.72,34.120338,-106.888339,116,0.0027,92,No notes.
ESC02,morrison,B-107,2025/02/19,20:58:58,8.9814,2660,8.9481,0.0333,0,0,0.0018,0,1407.72,34.120338,-106.888339,121,0.0011,92,No notes.
ESC02,morrison,B-107,2025/02/19,20:59:05,8.9786,2660,8.9453,0.0333,0,0,-0.0003,0,1407.72,34.120338,-106.888339,128,0.0034,92,No notes.
ESC02,morrison,B-107,2025/02/19,20:59:11,8.9774,2660,8.9441,0.0334,0,0,-0.0005,0,1407.72,34.120338,-106.888339,134,0.0021,92,No notes.
ESC02,morrison,B-107,2025/02/19,20:59:16,8.9791,2660,8.9457,0.0334,0,0,0.0003,0,1407.72,34.120338,-106.888339,139,0.0009,92,No notes.
ESC-W05,morrison,B-107,2025/02/19,21:03:35,9.2112,2660,9.176,0.0352,0,0,0.0021,0,1408.45,34.120365,-106.886292,56,0.0023,92,No notes.
ESC-W05,morrison,B-107,2025/02/19,21:04:05,9.2192,2660,9.1838,0.0354,0,0,0.0024,0,1408.45,34.120365,-106.886292,86,0.0028,92,No notes.
ESC-W05,morrison,B-107,2025/02/19,21:04:26,9.2195,2660,9.184,0.0355,0,0,0.0013,0,1408.45,34.120365,-106.886292,107,0.0038,92,No notes.
ESC-W05,morrison,B-107,2025/02/19,21:05:05,9.2164,2660,9.1806,0.0358,0,0,-0.002,0,1408.45,34.120365,-106.886292,146,0.0043,93,No notes.
ESC-W05,morrison,B-107,2025/02/19,21:05:11,9.2172,2660,9.1813,0.0358,0,0,-0.0012,0,1408.45,34.120365,-106.886292,152,0.0033,92,No notes.
ESC-W05,morrison,B-107,2025/02/19,21:05:16,9.2215,2660,9.1856,0.0359,0,0,0.0012,0,1408.45,34.120365,-106.886292,157,0.0035,92,No notes.
ESC-W05,morrison,B-107,2025/02/19,21:05:29,9.2182,2660,9.1822,0.036,0,0,-0.001,0,1408.45,34.120365,-106.886292,170,0.0015,93,No notes.
ESC02,morrison,B-107,2025/02/19,21:11:43,8.9637,2660,8.9253,0.0384,0,0,-0.0008,0,1407.72,34.120338,-106.888339,61,0.0042,93,No notes.
ESC02,morrison,B-107,2025/02/19,21:11:58,8.9766,2660,8.938,0.0386,0,0,-0.003,0,1407.72,34.120338,-106.888339,76,0.0016,93,No notes.
ESC02,morrison,B-107,2025/02/19,21:12:11,8.9832,2660,8.9446,0.0386,0,0,0.0028,0,1407.72,34.120338,-106.888339,89,0.0023,93,No notes.
ESC02,morrison,B-107,2025/02/19,21:12:35,8.9813,2660,8.9425,0.0388,0,0,0.0006,0,1407.72,34.120338,-106.888339,113,0.003,93,No notes.
ESC02,morrison,B-107,2025/02/19,21:12:41,8.9787,2660,8.9398,0.0388,0,0,-0.0011,0,1407.72,34.120338,-106.888339,119,0.004,93,No notes.
ESC02,morrison,B-107,2025/02/19,21:12:46,8.9803,2660,8.9414,0.0389,0,0,0.0002,0,1407.72,34.120338,-106.888339,124,0.0047,93,No notes.
ESC02,morrison,B-107,2025/02/19,21:14:16,8.9812,2660,8.9418,0.0395,0,0,0,0,1407.72,34.120338,-106.888339,214,0.0017,93,No notes.
ESC03,morrison,B-107,2025/02/19,21:18:49,9.0404,2660,8.9992,0.0413,0,0,0.0022,0,1408.14,34.120296,-106.887511,83,0.0044,93,No notes.
ESC03,morrison,B-107,2025/02/19,21:19:14,9.0319,2660,8.9905,0.0414,0,0,-0.0018,0,1408.14,34.120296,-106.887511,108,0.004,93,No notes.
ESC03,morrison,B-107,2025/02/19,21:19:44,9.036,2660,8.9944,0.0416,0,0,0.0009,0,1408.14,34.120296,-106.887511,138,0.003,93,No notes.
