Station ID,Observer ID,Serial Number,Date,Time,ObsG,Dial,Feedback Correction,Earthtide Correction,Level Correction,Temperature Correction,Beam Error,Height,Elevation,Latitude,Longitude,Elapsed Time,Standard Deviation,Temperature Frequency,Note
AP001,morrison,B-107,2025/03/28,15:47:36,-12.4852,2660,-12.4905,0.0053,0,0,-0.0007,0,1453,34.078947,-106.92083,130,0.0018,91,No notes.
AP001,morrison,B-107,2025/03/28,15:47:48,-12.4779,2660,-12.4838,0.0059,0,0,-0.0008,0,1453,34.078947,-106.92083,142,0.0036,92,No notes.
AP001,morrison,B-107,2025/03/28,15:48:04,-12.4744,2660,-12.4806,0.0061,0,0,0.001,0,1453,34.078947,-106.92083,158,0.0025,91,No notes.
AP001,morrison,B-107,2025/03/28,15:48:16,-12.4758,2660,-12.4822,0.0063,0,0,0,0,1453,34.078947,-106.92083,170,0.0044,91,No notes.
AP001,morrison,B-107,2025/03/28,15:48:28,-12.4749,2660,-12.4815,0.0065,0,0,-0.0001,0,1453,34.078947,-106.92083,182,0.0038,91,No notes.
AP001,morrison,B-107,2025/03/28,15:48:34,-12.4761,2660,-12.4827,0.0066,0,0,-0.0003,0,1453,34.078947,-106.92083,188,0.0016,91,No notes.
AP001,morrison,B-107,2025/03/28,15:48:42,-12.4753,2660,-12.482,0.0067,0,0,0.0004,0,1453,34.078947,-106.92083,196,0.0018,91,No notes.
AP001,morrison,B-107,2025/03/28,15:48:50,-12.4744,2660,-12.4813,0.0069,0,0,0.0006,0,1453,34.078947,-106.92083,204,0.0027,91,No notes.
AP001,morrison,B-107,2025/03/28,15:49:00,-12.4762,2660,-12.4832,0.0071,0,0,-0.0002,0,1453,34.078947,-106.92083,214,0.0025,91,No notes.
ESC17,morrison,B-107,2025/03/28,16:14:28,8.4944,2660,8.4626,0.0318,0,0,0.0012,0,1046.96,34.120709,-106.885639,97,0.0018,92,No notes.
ESC17,morrison,B-107,2025/03/28,16:14:56,8.4922,2660,8.4599,0.0323,0,0,-0.0007,0,1046.96,34.120709,-106.885639,125,0.0029,92,No notes.
ESC17,morrison,B-107,2025/03/28,16:15:01,8.4928,2660,8.4604,0.0324,0,0,0.0003,0,1046.96,34.120709,-106.885639,130,0.0014,92,No notes.
ESC17,morrison,B-107,2025/03/28,16:15:08,8.4911,2660,8.4587,0.0325,0,0,-0.0006,0,1046.96,34.120709,-106.885639,137,0.0016,92,No notes.
ESC17,morrison,B-107,2025/03/28,16:15:13,8.491,2660,8.4585,0.0325,0,0,-0.0006,0,1046.96,34.120709,-106.885639,142,0.0021,92,No notes.
ESC17,morrison,B-107,2025/03/28,16:15:20,8.4929,2660,8.4603,0.0326,0,0,0.0006,0,1046.96,34.120709,-106.885639,149,0.0011,91,No notes.
ESC17,morrison,B-107,2025/03/28,16:15:26,8.4939,2660,8.4611,0.0327,0,0,0.0006,0,1046.96,34.120709,-106.885639,155,0.0021,92,No notes.
ESC10,morrison,B-107,2025/03/28,16:19:59,8.2083,2660,8.1712,0.037,0,0,0.0005,0,1406.73,34.120544,-106.886317,58,0.0035,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:20:56,8.2125,2660,8.1746,0.0379,0,0,-0.0009,0,1406.73,34.120544,-106.886317,115,0.0021,92,No notes.
ESC10,morrison,B-107,2025/03/28,16:21:04,8.2132,2660,8.1751,0.0381,0,0,0.0001,0,1406.73,34.120544,-106.886317,123,0.0022,92,No notes.
ESC10,morrison,B-107,2025/03/28,16:21:30,8.2124,2660,8.1739,0.0385,0,0,-0.0005,0,1406.73,34.120544,-106.886317,149,0.0027,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:21:37,8.2132,2660,8.1746,0.0386,0,0,-0.001,0,1406.73,34.120544,-106.886317,156,0.0032,92,No notes.
ESC23,morrion,B-107,2025/03/28,16:29:07,7.9531,2660,7.9075,0.0456,0,0,0.0008,0,1408.14,34.120301,-106.886741,193,0.0026,92,No notes.
ESC23,morrion,B-107,2025/03/28,16:29:49,7.9564,2660,7.9102,0.0462,0,0,0.0021,0,1408.14,34.120301,-106.886741,235,0.0027,91,No notes.
ESC23,morrion,B-107,2025/03/28,16:30:27,7.9502,2660,7.9034,0.0468,0,0,-0.0015,0,1408.14,34.120301,-106.886741,273,0.0026,92,No notes.
ESC23,morrion,B-107,2025/03/28,16:30:34,7.9503,2660,7.9034,0.0469,0,0,-0.001,0,1408.14,34.120301,-106.886741,280,0.0029,91,No notes.
ESC23,morrion,B-107,2025/03/28,16:30:40,7.9531,2660,7.9061,0.047,0,0,0.0005,0,1408.14,34.120301,-106.886741,286,0.0013,92,No notes.
ESC23,morrion,B-107,2025/03/28,16:30:45,7.9502,2660,7.9031,0.0471,0,0,-0.001,0,1408.14,34.120301,-106.886741,291,0.0022,92,No notes.
ESC10,morrison,B-107,2025/03/28,16:36:31,8.22,2660,8.1677,0.0523,0,0,-0.0003,0,1406.73,34.120544,-106.886317,117,0.0029,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:36:37,8.2209,2660,8.1686,0.0524,0,0,-0.0007,0,1406.73,34.120544,-106.886317,123,0.0034,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:36:53,8.2198,2660,8.1671,0.0526,0,0,-0.0015,0,1406.73,34.120544,-106.886317,139,0.0034,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:36:59,8.2223,2660,8.1696,0.0527,0,0,0.0001,0,1406.73,34.120544,-106.886317,145,0.0038,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:37:05,8.2221,2660,8.1693,0.0528,0,0,0.0009,0,1406.73,34.120544,-106.886317,151,0.0046,92,No notes.
ESC10,morrison,B-107,2025/03/28,16:37:11,8.22,2660,8.1671,0.0529,0,0,-0.0008,0,1406.73,34.120544,-106.886317,157,0.0022,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:38:03,8.2245,2660,8.171,0.0535,0,0,0.0021,0,1406.73,34.120544,-106.886317,209,0.0026,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:38:19,8.2221,2660,8.1682,0.0539,0,0,0.0003,0,1406.73,34.120544,-106.886317,225,0.0022,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:38:29,8.2208,2660,8.1668,0.054,0,0,-0.0003,0,1406.73,34.120544,-106.886317,235,0.0019,91,No notes.
ESC10,morrison,B-107,2025/03/28,16:38:39,8.2226,2660,8.1684,0.0542,0,0,0.0013,0,1406.73,34.120544,-106.886317,245,0.0028,91,No notes.
ESC16,morrison,B-107,2025/03/28,16:44:21,8.4167,2660,8.3575,0.0592,0,0,-0.0011,0,1406.72,34.120661,-106.885877,65,0.0034,91,No notes.
ESC16,morrison,B-107,2025/03/28,16:44:53,8.4363,2660,8.3766,0.0597,0,0,-0.001,0,1406.72,34.120661,-106.885877,97,0.003,91,No notes.
ESC16,morrison,B-107,2025/03/28,16:46:01,8.4393,2660,8.3787,0.0606,0,0,0.0002,0,1406.72,34.120661,-106.885877,165,0.0023,91,No notes.
ESC16,morrison,B-107,2025/03/28,16:46:07,8.4388,2660,8.378,0.0607,0,0,-0.0006,0,1406.72,34.120661,-106.885877,171,0.0013,91,No notes.
ESC16,morrison,B-107,2025/03/28,16:46:54,8.4383,2660,8.377,0.0613,0,0,-0.0011,0,1406.72,34.120661,-106.885877,218,0.0026,91,No notes.
ESC16,morrison,B-107,2025/03/28,16:47:40,8.4383,2660,8.3763,0.062,0,0,-0.0012,0,1406.72,34.120661,-106.885877,264,0.0029,91,No notes.
ESC22,morrison,B-107,2025/03/28,16:54:57,9.2238,2660,9.1557,0.0682,0,0,0.0005,0,1406.86,34.121114,-106.884437,80,0.0017,90,No notes.
ESC22,morrison,B-107,2025/03/28,16:55:27,9.2219,2660,9.1533,0.0686,0,0,0.001,0,1406.86,34.121114,-106.884437,110,0.0018,91,No notes.
ESC22,morrison,B-107,2025/03/28,16:55:39,9.2177,2660,9.1489,0.0687,0,0,-0.001,0,1406.86,34.121114,-106.884437,122,0.0025,90,No notes.
ESC22,morrison,B-107,2025/03/28,16:55:44,9.2211,2660,9.1523,0.0688,0,0,0.0003,0,1406.86,34.121114,-106.884437,127,0.0032,91,No notes.
ESC22,morrison,B-107,2025/03/28,16:55:51,9.2239,2660,9.1549,0.0689,0,0,0.0014,0,1406.86,34.121114,-106.884437,134,0.0035,90,No notes.
