Station ID,Observer ID,Serial Number,Date,Time,ObsG,Dial,Feedback Correction,Earthtide Correction,Level Correction,Temperature Correction,Beam Error,Height,Elevation,Latitude,Longitude,Elapsed Time,Standard Deviation,Temperature Frequency,Note
AP001,morrison,B-107,2024/11/22,14:42:51,-2.1778,2656,-2.2242,0.0464,0,0,-0.0097,0,1453,34.078947,-106.92083,58,0.0079,90,No notes.
AP001,morrison,B-107,2024/11/22,14:42:58,-2.1504,2656,-2.1968,0.0464,0,0,0.0078,0,1453,34.078947,-106.92083,65,0.0041,90,No notes.
AP001,morrison,B-107,2024/11/22,14:43:04,-2.1442,2656,-2.1906,0.0463,0,0,0.0048,0,1453,34.078947,-106.92083,71,0.0027,90,No notes.
AP001,morrison,B-107,2024/11/22,14:43:11,-2.1466,2656,-2.1929,0.0463,0,0,0.0006,0,1453,34.078947,-106.92083,78,0.0011,90,No notes.
AP001,morrison,B-107,2024/11/22,14:43:41,-2.148,2656,-2.1941,0.0461,0,0,0.0001,0,1453,34.078947,-106.92083,108,0.002,90,No notes.
AP001,morrison,B-107,2024/11/22,14:43:46,-2.1482,2656,-2.1943,0.046,0,0,-0.0002,0,1453,34.078947,-106.92083,113,0.003,90,No notes.
AP001,morrison,B-107,2024/11/22,14:43:52,-2.1463,2656,-2.1923,0.046,0,0,0.0009,0,1453,34.078947,-106.92083,119,0.0015,90,No notes.
AP001,morrison,B-107,2024/11/22,14:44:16,-2.1473,2656,-2.1932,0.0459,0,0,0.0003,0,1453,34.078947,-106.92083,143,0.0027,90,No notes.
ESC17,morrison,B-107,2024/11/22,15:18:39,18.8186,2656,18.788,0.0306,0,0,-0.0082,0,1046.96,34.120709,-106.885639,74,0.0044,94,No notes.
ESC17,morrison,B-107,2024/11/22,15:18:52,18.8341,2656,18.8036,0.0305,0,0,0.0009,0,1046.96,34.120709,-106.885639,86,0.0047,93,No notes.
ESC17,morrison,B-107,2024/11/22,15:18:58,18.8321,2656,18.8017,0.0304,0,0,-0.0017,0,1046.96,34.120709,-106.885639,93,0.0041,93,No notes.
