Station,Latitude,Longitude,Elevation
AP001,34.07894827,-106.92074622,1448.45
ESC-E06,34.12031312,-106.88632022,1407.7
ESC-W05,34.12040636,-106.88755921,1407.517
ESC02,34.12032806,-106.88821841,1407.397
ESC03,34.12035793,-106.88799932,1407.516
ESC10,34.12047357,-106.88632993,1407.608
ESC14,34.12049502,-106.88613344,1407.406
ESC16,34.12057883,-106.88587357,1407.48
ESC17,34.12064633,-106.88562423,1407.669
ESC21,34.12102944,-106.88470197,1405.837
ESC22,34.12111042,-106.88439107,1406.831
ESC23,34.12025142,-106.88669366,1407.901
